state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Totals,70888822,7934664,5750308,2184356,2016,12,2014,4,
Hawaii,280525,82168,33387,48781,2016,12,2014,12,
Utah,312205,,,,2016,12,2014,8,
Wyoming,68891,,,,2016,12,2014,3,
"New Jersey",1659225,543733,543733,0,2016,12,2014,12,
Oklahoma,765374,,,,2016,12,2014,2,
Alabama,1049711,,,,2016,12,2014,12,
Georgia,1765444,,,,2016,12,2014,7,
"Rhode Island",250294,39131,39131,0,2016,12,2014,3,
Alabama,1000824,,,,2016,12,2014,2,
Guam,36643,3034,,3034,2016,12,2014,9,
Connecticut,827896,166350,157012,9338,2016,12,2014,7,
Arkansas,825592,234991,191738,43253,2016,12,2014,6,
Kentucky,1229241,396777,396777,0,2016,12,2014,12,
California,13990539,1938470,1938470,0,2016,12,2014,5,
"South Dakota",107651,,,,2016,12,2014,10,
Colorado,1106597,274903,273589,1314,2016,12,2014,9,
Tennessee,1417284,,,,2016,12,2014,5,
Michigan,1791236,,,,2016,12,2014,1,
Florida,3954371,,,,2016,12,2014,10,
Virginia,930299,,,,2016,12,2014,12,
Michigan,1803155,,,,2016,12,2014,2,
"Puerto Rico",1805746,595110,,595110,2016,12,2014,9,
Vermont,185367,48624,0,48624,2016,12,2014,7,
Wyoming,69584,,,,2016,12,2014,8,
Illinois,2850715,383988,383591,397,2016,12,2014,3,
"District of Columbia",242299,53182,53182,0,2016,12,2014,10,
"New York",5950762,1421397,188229,1233168,2016,12,2014,11,
"Puerto Rico",1329677,570717,,570717,2016,12,2014,3,
"American Samoa",36726,,,,2016,12,2014,12,
"Rhode Island",256150,42271,42271,0,2016,12,2014,4,
Arizona,1577367,259147,36443,222704,2016,12,2014,5,
Oklahoma,732897,,,,2016,12,2014,6,
Colorado,889665,155871,154690,1181,2016,12,2014,1,
Oklahoma,756287,,,,2016,12,2014,8,
"North Carolina",1837398,,,,2016,12,2014,3,
"New Mexico",679663,138893,138893,0,2016,12,2014,5,
Oregon,985516,433330,349843,83487,2016,12,2014,7,
Wisconsin,1200598,,,,2016,12,2014,8,
Oregon,1006433,466739,407990,58749,2016,12,2014,12,
Florida,3934638,,,,2016,12,2014,9,
Wisconsin,1181362,,,,2016,12,2014,11,
"New York",5766712,983429,103253,880176,2016,12,2014,5,
Nebraska,233803,,,,2016,12,2014,12,
Massachusetts,1766643,299557,0,299557,2016,12,2014,4,
Totals,74084538,10346257,7735723,2610534,2016,12,2014,11,
Utah,313500,,,,2016,12,2014,1,
"New Mexico",712716,157466,157466,0,2016,12,2014,7,
Ohio,2790025,391883,362061,29822,2016,12,2014,7,
"New York",2082549,791665,28324,763341,2016,12,2014,1,
Virginia,919811,,,,2016,12,2014,10,
Iowa,550876,116331,108108,8223,2016,12,2014,10,
Missouri,780053,,,,2016,12,2014,3,
Iowa,499120,61768,60589,1179,2016,12,2014,1,
Hawaii,278592,74781,35993,38788,2016,12,2014,9,
Oregon,1003425,443512,360422,83090,2016,12,2014,9,
"North Carolina",1865032,,,,2016,12,2014,6,
Delaware,201892,56241,9203,47038,2016,12,2014,10,
Kentucky,1060566,247899,247899,0,2016,12,2014,3,
Tennessee,1504276,,,,2016,12,2014,12,
Florida,3861446,,,,2016,12,2014,4,
"New Jersey",1586539,486894,486894,0,2016,12,2014,8,
Wisconsin,1199028,,,,2016,12,2014,4,
Idaho,270679,,,,2016,12,2014,1,
"South Dakota",107565,,,,2016,12,2014,8,
Alaska,107200,,,,2016,12,2014,1,
Arizona,1605491,270591,37370,233221,2016,12,2014,6,
California,14077741,2017684,2017684,0,2016,12,2014,6,
Guam,36739,3083,,3083,2016,12,2014,6,
Utah,325161,,,,2016,12,2014,10,
Missouri,794421,,,,2016,12,2014,8,
Vermont,187050,37432,0,37432,2016,12,2014,1,
Oklahoma,757290,,,,2016,12,2014,1,
Texas,4330326,,,,2016,12,2014,12,
"Puerto Rico",1228611,481726,,481726,2016,12,2014,5,
Delaware,196529,57449,7570,49879,2016,12,2014,7,
Illinois,2724044,273645,273498,147,2016,12,2014,1,
Montana,147003,,,,2016,12,2014,1,
Vermont,190805,50811,0,50811,2016,12,2014,11,
"West Virginia",488375,117257,117257,0,2016,12,2014,4,
"Puerto Rico",1776692,576809,,576809,2016,12,2014,7,
Arkansas,853244,256553,208498,48055,2016,12,2014,9,
California,13309395,1339318,1339318,0,2016,12,2014,2,
Missouri,834854,,,,2016,12,2014,11,
Virginia,931238,,,,2016,12,2014,11,
Tennessee,1368261,,,,2016,12,2014,3,
Virginia,910819,,,,2016,12,2014,7,
Alaska,117862,,,,2016,12,2014,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Virgin Islands",16006,,,,2016,12,2014,10,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Michigan,2124871,410025,381379,28646,2016,12,2014,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Georgia,1673416,,,,2016,12,2014,3,
Washington,1638483,467976,452144,15832,2016,12,2014,10,
"West Virginia",527194,154292,154292,0,2016,12,2014,12,
Arizona,1538268,246222,33439,212783,2016,12,2014,4,
Alabama,997545,,,,2016,12,2014,1,
Delaware,200131,56879,8193,48686,2016,12,2014,8,
Wisconsin,1172221,,,,2016,12,2014,1,
"Rhode Island",233589,27930,27930,0,2016,12,2014,2,
Kentucky,1209927,382372,382372,0,2016,12,2014,11,
Iowa,541226,102534,98966,3568,2016,12,2014,5,
Kansas,367766,,,,2016,12,2014,8,
Wisconsin,1200151,,,,2016,12,2014,6,
"South Carolina",1053784,,,,2016,12,2014,3,
Montana,150216,,,,2016,12,2014,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",108507,,,,2016,12,2014,6,
"N. Mariana Islands",17000,,,,2016,12,2014,8,
Nebraska,233229,,,,2016,12,2014,2,
Illinois,2933035,457523,456301,1222,2016,12,2014,6,
Arkansas,871098,209868,185567,24301,2016,12,2014,2,
Florida,3878380,,,,2016,12,2014,5,
Maine,300720,,,,2016,12,2014,1,
"American Samoa",36726,,,,2016,12,2014,4,
Pennsylvania,2077675,,,,2016,12,2014,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Ohio,2854368,437833,404512,33321,2016,12,2014,9,
Idaho,276009,,,,2016,12,2014,3,
"South Carolina",1078743,,,,2016,12,2014,4,
Texas,4319287,,,,2016,12,2014,11,
Florida,3920993,,,,2016,12,2014,8,
"Virgin Islands",14310,,,,2016,12,2014,6,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Arizona,1662928,310592,44856,265736,2016,12,2014,7,
"N. Mariana Islands",17000,,,,2016,12,2014,11,
California,13872494,1852956,1852956,0,2016,12,2014,4,
Massachusetts,1981413,343836,0,343836,2016,12,2014,12,
Connecticut,810081,159243,150782,8461,2016,12,2014,5,
Washington,1621809,455777,440354,15423,2016,12,2014,9,
Kentucky,997084,197850,197850,0,2016,12,2014,2,
Illinois,2930036,435536,434675,861,2016,12,2014,5,
Totals,66277482,7222843,5089144,2133699,2016,12,2014,3,
Georgia,1791849,,,,2016,12,2014,10,
Wyoming,69793,,,,2016,12,2014,7,
Ohio,2896197,469600,433862,35738,2016,12,2014,11,
Illinois,2764067,311244,311026,218,2016,12,2014,2,
"South Dakota",107830,,,,2016,12,2014,7,
"Virgin Islands",15676,,,,2016,12,2014,9,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Guam,36739,2845,,2845,2016,12,2014,11,
Alaska,110050,,,,2016,12,2014,3,
Illinois,2950759,485625,483954,1671,2016,12,2014,7,
"American Samoa",36726,,,,2016,12,2014,5,
Alaska,106745,,,,2016,12,2014,2,
Alaska,118437,,,,2016,12,2014,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Missouri,777030,,,,2016,12,2014,4,
Washington,1588275,416481,399287,17194,2016,12,2014,6,
Vermont,187119,49368,0,49368,2016,12,2014,8,
Maryland,1091423,163927,163927,0,2016,12,2014,3,
"District of Columbia",238205,51632,51632,0,2016,12,2014,7,
Virginia,882479,,,,2016,12,2014,2,
"New Jersey",1470023,398073,398073,0,2016,12,2014,3,
Indiana,1091068,,,,2016,12,2014,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Oregon,994359,438080,354254,83826,2016,12,2014,8,
"South Dakota",105290,,,,2016,12,2014,1,
Georgia,1721743,,,,2016,12,2014,5,
Virginia,910050,,,,2016,12,2014,9,
Nebraska,237519,,,,2016,12,2014,10,
Mississippi,689153,,,,2016,12,2014,6,
"South Carolina",1038049,,,,2016,12,2014,2,
Maine,296674,,,,2016,12,2014,4,
Connecticut,816861,162299,153383,8916,2016,12,2014,6,
Louisiana,1264882,,,,2016,12,2014,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Kentucky,1101231,287506,287506,0,2016,12,2014,5,
Ohio,2822443,416808,385087,31721,2016,12,2014,8,
Nevada,463481,101384,101384,0,2016,12,2014,5,
Ohio,2507119,159628,150265,9363,2016,12,2014,2,
Minnesota,1071714,170474,169810,664,2016,12,2014,7,
Nevada,404662,63693,63693,0,2016,12,2014,3,
Nevada,556116,151308,151308,0,2016,12,2014,9,
"Rhode Island",265153,48023,48023,0,2016,12,2014,8,
Minnesota,1100701,184916,183824,1092,2016,12,2014,12,
Alaska,116337,,,,2016,12,2014,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Maryland,1101896,202972,202972,0,2016,12,2014,10,
Ohio,2923044,485312,448378,36934,2016,12,2014,12,
Texas,4312511,,,,2016,12,2014,10,
"Virgin Islands",14179,,,,2016,12,2014,2,
Illinois,2919312,414822,414249,573,2016,12,2014,4,
Tennessee,1442110,,,,2016,12,2014,7,
Nevada,436037,83216,83216,0,2016,12,2014,4,
Wisconsin,1201672,,,,2016,12,2014,7,
"South Carolina",1183758,,,,2016,12,2014,10,
Utah,308680,,,,2016,12,2014,2,
"New Jersey",1537791,450975,450975,0,2016,12,2014,6,
Missouri,782371,,,,2016,12,2014,6,
Delaware,194805,55937,6190,49747,2016,12,2014,5,
Alabama,1041588,,,,2016,12,2014,7,
Indiana,1069100,,,,2016,12,2014,1,
Ohio,2460832,108346,101991,6355,2016,12,2014,1,
"Rhode Island",266274,51336,51336,0,2016,12,2014,11,
"N. Mariana Islands",17000,,,,2016,12,2014,3,
Hawaii,272164,77672,32848,44824,2016,12,2014,10,
Mississippi,695496,,,,2016,12,2014,7,
Georgia,1739952,,,,2016,12,2014,6,
Missouri,779920,,,,2016,12,2014,2,
"Virgin Islands",14843,,,,2016,12,2014,8,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,198188,55238,5358,49880,2016,12,2014,4,
Arizona,1688885,321585,47087,274498,2016,12,2014,8,
Vermont,192488,51863,0,51863,2016,12,2014,12,
Massachusetts,1871008,305698,0,305698,2016,12,2014,8,
Oregon,966488,423059,340275,82784,2016,12,2014,5,
Texas,3900610,,,,2016,12,2014,1,
"South Dakota",107575,,,,2016,12,2014,3,
"West Virginia",471285,103662,103662,0,2016,12,2014,3,
Florida,3739985,,,,2016,12,2014,1,
"New Hampshire",134728,,,,2016,12,2014,2,
Maine,287762,,,,2016,12,2014,9,
Wyoming,69585,,,,2016,12,2014,5,
Tennessee,1487555,,,,2016,12,2014,10,
"New Jersey",1604572,498620,498620,0,2016,12,2014,9,
"South Carolina",1086530,,,,2016,12,2014,5,
"Puerto Rico",1239612,500781,,500781,2016,12,2014,4,
Kentucky,1133157,319642,319642,0,2016,12,2014,7,
Pennsylvania,2068064,,,,2016,12,2014,2,
"District of Columbia",242755,53370,53370,0,2016,12,2014,11,
"American Samoa",36726,,,,2016,12,2014,8,
"New York",2107253,817931,43128,774803,2016,12,2014,2,
"Rhode Island",259243,45259,45259,0,2016,12,2014,6,
Mississippi,736517,,,,2016,12,2014,12,
Louisiana,1349334,,,,2016,12,2014,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oregon,1035570,466705,382976,83729,2016,12,2014,10,
Delaware,203554,56004,8644,47360,2016,12,2014,9,
Arizona,1707530,330357,49418,280939,2016,12,2014,9,
Michigan,2162096,497707,464018,33689,2016,12,2014,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1197172,370046,370046,0,2016,12,2014,10,
"New York",5866835,1253248,151190,1102058,2016,12,2014,9,
Tennessee,1424822,,,,2016,12,2014,6,
Utah,311905,,,,2016,12,2014,6,
"New Mexico",677369,134292,134292,0,2016,12,2014,4,
Montana,151250,,,,2016,12,2014,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"West Virginia",512056,151035,151035,0,2016,12,2014,11,
Massachusetts,1798346,302795,0,302795,2016,12,2014,6,
Iowa,553661,121275,112326,8949,2016,12,2014,12,
Ohio,2609422,251610,236853,14757,2016,12,2014,3,
Wyoming,71694,,,,2016,12,2014,11,
Illinois,2968855,505572,503267,2305,2016,12,2014,8,
"Rhode Island",224402,21601,21601,0,2016,12,2014,1,
Alabama,1020802,,,,2016,12,2014,4,
Kansas,368475,,,,2016,12,2014,7,
"New Mexico",616808,86173,86173,0,2016,12,2014,1,
Missouri,788737,,,,2016,12,2014,7,
Alabama,1014931,,,,2016,12,2014,3,
"South Carolina",1188671,,,,2016,12,2014,11,
Hawaii,289192,72940,45869,27071,2016,12,2014,3,
Arizona,1721113,335191,54816,280375,2016,12,2014,11,
Colorado,1089078,265610,264274,1336,2016,12,2014,8,
Maryland,1150970,204708,204708,0,2016,12,2014,9,
Delaware,196362,49144,3032,46112,2016,12,2014,2,
Kansas,369707,,,,2016,12,2014,6,
Wisconsin,1194721,,,,2016,12,2014,9,
Guam,36924,3150,,3150,2016,12,2014,5,
"New Mexico",725372,167251,167251,0,2016,12,2014,9,
Virginia,887379,,,,2016,12,2014,3,
Vermont,183886,45836,0,45836,2016,12,2014,4,
Texas,4088395,,,,2016,12,2014,6,
Connecticut,697756,115860,115860,0,2016,12,2014,2,
"New Hampshire",162184,23995,23820,175,2016,12,2014,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Iowa,533232,93813,90124,3689,2016,12,2014,4,
"North Carolina",1913754,,,,2016,12,2014,10,
Delaware,205356,58533,9961,48572,2016,12,2014,12,
Connecticut,844325,174691,164581,10110,2016,12,2014,9,
Nevada,530596,164906,164906,0,2016,12,2014,12,
Colorado,1120120,284045,282417,1628,2016,12,2014,10,
Arkansas,859061,265032,224870,40162,2016,12,2014,12,
Tennessee,1460325,,,,2016,12,2014,9,
"North Dakota",81745,15684,15257,427,2016,12,2014,11,
Colorado,1153171,307374,305818,1556,2016,12,2014,12,
