State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ","1,149,887",N/A,N/A,N/A,2022,3,2021,1,
"Alaska ","234,383","65,181","65,179",2,2022,3,2021,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756",N/A,N/A,N/A,2022,3,2021,1,
"Arizona ","2,113,318","559,737","171,198","388,539",2022,3,2021,1,
"Arkansas ","929,920","312,100","311,080","1,020",2022,3,2021,1,
"California ","13,374,816","4,212,338","4,184,056","28,282",2022,3,2021,1,
"Colorado ","1,430,499","499,021","489,878","9,143",2022,3,2021,1,
"Connecticut ","1,053,089","315,122","286,373","28,749",2022,3,2021,1,
"Delaware ","241,540","73,399","11,243","62,156",2022,3,2021,1,
"Dist. Of Col. ","262,842","116,907","74,470","42,437",2022,3,2021,1,
"Florida ","4,590,505",N/A,N/A,N/A,2022,3,2021,1,
"Georgia ","2,249,475",N/A,N/A,N/A,2022,3,2021,1,
"Guam ","32,636","4,061",N/A,"4,061",2022,3,2021,1,
"Hawaii ","405,711","149,598","26,665","122,933",2022,3,2021,1,
"Idaho ","404,131","95,431","95,431",0,2022,3,2021,1,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,005,385","831,598","727,586","104,012",2022,3,2021,1,
"Indiana ","1,693,122","464,560","464,560",0,2022,3,2021,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","677,038","211,454","180,167","31,287",2022,3,2021,1,
"Kansas ","399,194",N/A,N/A,N/A,2022,3,2021,1,
"Kentucky ","1,541,734","641,101","641,101",0,2022,3,2021,1,
"Louisiana ","1,835,472","610,599","610,599",0,2022,3,2021,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","333,560","75,907","59,439","16,468",2022,3,2021,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,397,311","372,144","372,144",0,2022,3,2021,1,
"Massachusetts ","1,833,612","398,917",0,"398,917",2022,3,2021,1,
"Michigan ","2,751,640","877,981","822,306","55,675",2022,3,2021,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,203,312","238,821","238,821",0,2022,3,2021,1,
"Mississippi ","747,477",N/A,N/A,N/A,2022,3,2021,1,
"Missouri ","1,019,441",N/A,N/A,N/A,2022,3,2021,1,
"Montana ","268,511","102,990","102,990",0,2022,3,2021,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","16,104",N/A,N/A,N/A,2022,3,2021,1,
"Nebraska ","306,715","31,877","31,121",756,2022,3,2021,1,
"Nevada ","722,100","280,746","280,746",0,2022,3,2021,1,
"New Hampshire ","212,042","72,197","71,809",388,2022,3,2021,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,817,787","649,876","649,876",0,2022,3,2021,1,
"New Mexico ","914,965","287,121","287,121",0,2022,3,2021,1,
"New York ","6,871,476","2,288,354","402,729","1,885,625",2022,3,2021,1,
"North Carolina ","2,432,752",N/A,N/A,N/A,2022,3,2021,1,
"North Dakota ","111,469","25,025","23,702","1,323",2022,3,2021,1,
"Ohio ","3,174,478","704,250","703,978",272,2022,3,2021,1,
"Oklahoma ","813,627",N/A,N/A,N/A,2022,3,2021,1,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,136,903","595,927","500,215","95,712",2022,3,2021,1,
"Pennsylvania ","3,189,891","979,072","929,757","49,315",2022,3,2021,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,376,217","556,523",N/A,"556,523",2022,3,2021,1,
"Rhode Island ","331,860","83,812","83,812",0,2022,3,2021,1,
"South Carolina ","1,388,691",N/A,N/A,N/A,2022,3,2021,1,
"South Dakota ","116,286",N/A,N/A,N/A,2022,3,2021,1,
"Tennessee ","1,674,396",N/A,N/A,N/A,2022,3,2021,1,
"Texas ","4,920,954",N/A,N/A,N/A,2022,3,2021,1,
"Utah ","400,127","82,986","82,204",782,2022,3,2021,1,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","185,114","67,939",0,"67,939",2022,3,2021,1,
"Virgin Islands ","33,333","16,133",N/A,"16,133",2022,3,2021,1,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,599,347","511,119","511,119",0,2022,3,2021,1,
"Washington ","1,928,779","687,714","671,799","15,915",2022,3,2021,1,
"West Virginia ","579,976","196,520","196,520",0,2022,3,2021,1,
"Wisconsin ","1,366,521",N/A,N/A,N/A,2022,3,2021,1,
"Wyoming ","64,902",N/A,N/A,N/A,2022,3,2021,1,
Totals,"84,904,129","19,346,158","15,361,794","3,984,364",2022,3,2021,1,
