DemocraticVote,DemocraticShare,RepublicanVote,RepublicanShare,state,StateAB
729547,0.3436,1318255,0.6208,Alabama,AL
116454,0.3655,163387,0.5128,Alaska,AK
1161167,0.4458,1252401,0.4808,Arizona,AZ
380494,0.3365,684872,0.6057,Arkansas,AR
8753788,0.6173,4483810,0.3162,California,CA
1338870,0.4816,1202484,0.4325,Colorado,CO
897572,0.5457,673215,0.4093,Connecticut,CT
235603,0.5309,185127,0.4172,Delaware,DE
4504975,0.4782,4617886,0.4902,Florida,FL
1877963,0.4564,2089104,0.5077,Georgia,GA
266891,0.6222,128847,0.3003,Hawaii,HI
189765,0.2749,409055,0.5926,Idaho,ID
3090729,0.5583,2146015,0.3876,Illinois,IL
1033126,0.3791,1557286,0.5682,Indiana,IN
653669,0.4174,800983,0.5115,Iowa,IA
427005,0.3605,671018,0.5665,Kansas,KS
628854,0.3268,1202971,0.6252,Kentucky,KY
780154,0.3845,1178638,0.5809,Louisiana,LA
357735,0.4783,335593,0.4487,Maine,ME
1677928,0.6033,943169,0.3391,Maryland,MD
1995196,0.6001,1090893,0.3281,Massachusetts,MA
2268839,0.4727,2279543,0.475,Michigan,MI
1367716,0.4644,1322951,0.4492,Minnesota,MN
485131,0.4006,700714,0.5786,Mississippi,MS
1071068,0.3814,1594511,0.5677,Missouri,MO
177709,0.3575,279240,0.5617,Montana,MT
284494,0.337,495961,0.5875,Nebraska,NE
539260,0.4792,512058,0.455,Nevada,NV
348526,0.4698,345790,0.4661,New Hampshire,NH
2148278,0.5545,1601933,0.4135,New Jersey,NJ
385234,0.4826,319667,0.4004,New Mexico,NM
4556124,0.5901,2819534,0.3652,New York,NY
2189316,0.4617,2362631,0.4983,North Carolina,NC
93758,0.2723,216794,0.6296,North Dakota,ND
2394164,0.4356,2841005,0.5169,Ohio,OH
420375,0.2893,949136,0.6532,Oklahoma,OK
1002106,0.5007,782403,0.3909,Oregon,OR
2926441,0.4746,2970733,0.4818,Pennsylvania,PA
252525,0.5441,180543,0.389,Rhode Island,RI
855373,0.4067,1155389,0.5494,South Carolina,SC
117458,0.3174,227721,0.6153,South Dakota,SD
870695,0.3472,1522925,0.6072,Tennessee,TN
3877868,0.4324,4685047,0.5223,Texas,TX
310676,0.2746,515231,0.4554,Utah,UT
178573,0.5668,95369,0.3027,Vermont,VT
1981473,0.4973,1769443,0.4441,Virginia,VA
1742718,0.5254,1221747,0.3683,Washington,WA
188794,0.2643,489371,0.685,West Virginia,WV
1382536,0.4645,1405284,0.4722,Wisconsin,WI
55973,0.2188,174419,0.6817,Wyoming,WY
282830,0.9086,12723,0.0409,District of Columbia,DC
