state,DemocraticVote,DemocraticShare,RepublicanVote,RepublicanShare
Alabama,813479,0.39,1266546,0.6
Alaska,123594,0.38,193841,0.59
Arizona,1034707,0.45,1230111,0.54
Arkansas,422310,0.39,638017,0.59
California,8274473,0.61,5011781,0.37
Colorado,1288633,0.54,1073629,0.45
Connecticut,997772,0.61,629428,0.38
Delaware,255459,0.62,152374,0.37
District of Columbia,245800,0.92,17367,0.07
Florida,4282074,0.51,4045624,0.48
Georgia,1844123,0.47,2048759,0.52
Hawaii,325871,0.72,120566,0.27
Idaho,236440,0.36,403012,0.62
Illinois,3419348,0.62,2031179,0.37
Indiana,1374039,0.5,1345648,0.49
Iowa,828940,0.54,682379,0.44
Kansas,514765,0.42,699655,0.57
Kentucky,751985,0.41,1048462,0.57
Louisiana,782989,0.4,1148275,0.59
Maine,421923,0.58,295273,0.4
Maryland,1629467,0.62,959862,0.36
Massachusetts,1904097,0.62,1108854,0.36
Michigan,2872579,0.57,2048639,0.41
Minnesota,1573354,0.54,1275409,0.44
Mississippi,554662,0.43,724597,0.56
Missouri,1441911,0.49,1445814,0.49
Montana,231667,0.47,242763,0.5
Nebraska,333319,0.42,452979,0.57
Nevada,533736,0.55,412827,0.43
New Hampshire,384826,0.54,316534,0.45
New Jersey,2215422,0.57,1613207,0.42
New Mexico,472422,0.57,346832,0.42
New York,4804945,0.63,2752771,0.36
North Carolina,2142651,0.5,2128474,0.49
North Dakota,141278,0.45,168601,0.53
Ohio,2940044,0.52,2677820,0.47
Oklahoma,502496,0.34,960165,0.66
Oregon,1037291,0.57,738475,0.4
Pennsylvania,3276363,0.54,2655885,0.44
Rhode Island,296571,0.63,165391,0.35
South Carolina,862449,0.45,1034896,0.54
South Dakota,170924,0.45,203054,0.53
Tennessee,1087437,0.42,1479178,0.57
Texas,3528633,0.44,4479328,0.55
Utah,327670,0.34,596030,0.63
Vermont,219262,0.67,98974,0.3
Virginia,1959532,0.53,1725005,0.46
Washington,1750848,0.58,1229216,0.4
West Virginia,303857,0.43,397466,0.56
Wisconsin,1677211,0.56,1262393,0.42
Wyoming,82868,0.33,164958,0.65
